source_id,case,url,video_id,title,channel,upload_date,duration,views,format,narrative_coverage,covers_2025_2026_outcome,result_query,observed_at
SOL-Y13,Solano,https://www.youtube.com/watch?v=7wxE2p1wZM8,7wxE2p1wZM8,‘I think she’s out’ | Solano County deputy says after violent arrest,ABC10,2021-08-19,2:11,22353,news package,"Incident, unconsciousness, and lawsuit allegations",no,"""Nakia Porter""",2026-09-14
SOL-Y14,Solano,https://www.youtube.com/watch?v=fKToiIy8P6I,fKToiIy8P6I,Solano County Sheriff’s Office responds after accusations of violent arrest and more | Aug. 23 2021,ABC10,2021-08-24,2:16,3045,news package,Agency response and camera release,no,Nakia Porter Solano bodycam,2026-09-14
SOL-Y15,Solano,https://www.youtube.com/watch?v=aubx8COb3lA,aubx8COb3lA,Solano County Sheriff's Office Releases Video Of Violent Arrest,CBS News Sacramento,2021-08-24,0:39,1992,news clip,Agency footage release,no,Nakia Porter Solano bodycam,2026-09-14
SOL-Y16,Solano,https://www.youtube.com/watch?v=IIV0Vyou1UE,IIV0Vyou1UE,Everyday Injustice Podcast Episode 135: Nakia Porter Beaten By Solano County Sheriff Deputies,Vanguard News Group,2021-12-21,53:04,1683,podcast/interview,Porter and counsel discuss incident and pending case,no,"""Nakia Porter""",2026-09-14
SOL-Y17,Solano,https://www.youtube.com/watch?v=zTPDrpZvI3w,zTPDrpZvI3w,Police officer Reacts to Nakia Porter Arrest!,True Crime with Strategic Eyes,2021-08-20,1:35:29,1094,reaction/commentary,Officer commentary on arrest footage,no,"""Nakia Porter""",2026-09-14
SOL-Y18,Solano,https://www.youtube.com/watch?v=qYsBzUSIb2g,qYsBzUSIb2g,Nakia Porter beaten like a man by officers. Lawsuit in progress.,Christian News and Interviews,2021-08-22,5:50,294,commentary,Opinion-based retelling of pending lawsuit,no,"""Nakia Porter""",2026-09-14
SOL-Y19,Solano,https://www.youtube.com/watch?v=Q7TEFAoX4Cc,Q7TEFAoX4Cc,California Cops Claimed She “Resisted” — Watch What Really Happened — Gets $17 Million Settlement,Don Andre Investigations,2025-11-17,33:21,435478,commentary/documentary,Incident footage plus $17M outcome narrative,yes,Nakia Porter 17 million settlement,2026-09-14
SOL-Y20,Solano,https://www.youtube.com/watch?v=LLbNhYNzdDg,LLbNhYNzdDg,Solano County settles violent arrest case for $17 million,KCRA 3,2025-09-30,0:58,3376,news clip,Reports $17M settlement outcome,yes,Nakia Porter 17 million settlement,2026-09-14
SOL-Y21,Solano,https://www.youtube.com/watch?v=4Nvb7f0e3AE,4Nvb7f0e3AE,$17M settlement to woman knocked out over mismatched plates,KTVU FOX 2 San Francisco,2025-09-30,5:29,11825,news package,Incident recap and $17M settlement outcome,yes,Nakia Porter 17 million settlement,2026-09-14
SOL-Y22,Solano,https://www.youtube.com/watch?v=vbBmszCpOo4,vbBmszCpOo4,Woman violently arrested by sheriff deputies secures $17M settlement,KRON 4,2025-09-30,2:00,1128,news package,Reports settlement outcome,yes,Nakia Porter 17 million settlement,2026-09-14
